year,ecology,environment
1800,3.0948099638550275e-09,2.990491658749761e-07
1801,7.676461244443544e-09,2.483404060171779e-07
1802,6.903532301372195e-09,2.505077259703133e-07
1803,7.321313238201859e-09,2.2174090728656536e-07
1804,7.059467137844016e-09,1.5862962549866616e-07
1805,7.3191446395678585e-09,1.629642325846297e-07
1806,6.117605453960704e-09,1.4376977272182297e-07
1807,1.1975799891444133e-08,9.771764476949687e-08
1808,8.261076124758761e-09,1.0204358526420623e-07
1809,7.826949326756555e-09,6.72416288998485e-08
1810,6.422949489730862e-09,6.131131780051646e-08
1811,6.117871939207273e-09,4.835667371289836e-08
1812,5.85819443748343e-09,2.8130843813097987e-08
1813,6.634112053356083e-09,3.194826663539223e-08
1814,1.1938338888890193e-09,3.800384350073825e-08
1815,1.1938338888890193e-09,3.4130202029660136e-08
1816,1.1938338888890193e-09,3.483019092190684e-08
1817,1.7078766020465049e-09,3.8709582333191454e-08
1818,1.7078766020465049e-09,4.9161941565297896e-08
1819,1.7078766020465049e-09,5.585459180882221e-08
1820,1.3741497780931207e-09,5.246240699006778e-08
1821,1.084787759619843e-09,4.4473387258595464e-08
1822,1.2095566611794846e-09,4.026523749343726e-08
1823,5.282976865496534e-09,8.296362707937988e-08
1824,5.573654252418894e-09,8.470054828941492e-08
1825,5.953504657517174e-09,7.960379428644565e-08
1826,7.256985282541198e-09,7.372180225015004e-08
1827,7.128506309049345e-09,7.118112118778949e-08
1828,8.43423306592531e-09,8.940564200088374e-08
1829,1.6882926612282745e-08,2.774553853969662e-07
1830,1.3095420049933994e-08,2.4534321850312934e-07
1831,1.3219646520314297e-08,2.5377904679300756e-07
1832,1.9311154929115204e-08,3.176069286934892e-07
1833,1.8007674304091178e-08,3.1936661010994225e-07
1834,1.8109263453882007e-08,3.28030642902734e-07
1835,1.7177682863435606e-08,3.283324753665186e-07
1836,1.4984420656663896e-08,1.7033955249498183e-07
1837,1.4698507014695598e-08,1.6829148817367111e-07
1838,1.69752417519423e-08,1.709335591166499e-07
1839,1.0731227240157182e-08,1.130274271637128e-07
1840,1.095798513832997e-08,1.1675044017270661e-07
1841,1.1032527447163432e-08,1.2080673781968342e-07
1842,1.162450489834908e-08,1.2172598319791307e-07
1843,5.44102824700283e-09,1.0846545706044708e-07
1844,6.042073936412302e-09,1.2447603126020113e-07
1845,2.903131394013262e-09,1.2531224667457407e-07
1846,2.6757870918991955e-09,1.3508888940805264e-07
1847,2.6308455969292766e-09,1.4986648214484637e-07
1848,2.851942071391278e-09,1.633582290391392e-07
1849,2.4021386387954433e-09,1.7028187317334543e-07
1850,2.9649335922929e-09,1.69206456592162e-07
1851,3.2460312136630064e-09,1.6733194334912177e-07
1852,3.735469711330097e-09,1.9088017617312808e-07
1853,3.928507075201537e-09,2.0603450983409338e-07
1854,5.110240960551746e-09,2.2369879916693337e-07
1855,5.134325694758754e-09,2.3389164636812764e-07
1856,5.085836926202855e-09,2.343372277177228e-07
1857,4.952063299106564e-09,2.595291773234619e-07
1858,5.510007783371407e-09,2.6058046590346097e-07
1859,5.4412656285458235e-09,2.4424617858390517e-07
1860,6.52912771467332e-09,2.342849804953013e-07
1861,5.95639093603495e-09,2.6912449056583553e-07
1862,5.945703992641224e-09,2.7824351483169654e-07
1863,5.874435001932252e-09,3.0472220657884463e-07
1864,5.955116875812548e-09,3.224765013750844e-07
1865,7.345528344312616e-09,3.4898795726283946e-07
1866,4.773550313760414e-08,5.069252750899977e-07
1867,4.705957810737159e-08,5.613623678917585e-07
1868,4.810604425919962e-08,5.683323455027026e-07
1869,4.9558930451506656e-08,6.257143232752631e-07
1870,4.945617839067852e-08,6.887197270901067e-07
1871,4.980472922966328e-08,8.285649641948112e-07
1872,4.898086380933364e-08,9.856278048963368e-07
1873,8.298497666814342e-09,9.63352655552236e-07
1874,1.3257223097085102e-08,1.2389918018535745e-06
1875,1.3786730328797198e-08,1.384517076985503e-06
1876,1.4791061423277289e-08,1.5411695406848075e-06
1877,1.5836667057099263e-08,1.6709842611817294e-06
1878,1.819251330533892e-08,1.778225120168437e-06
1879,1.7023810964086498e-08,1.9051692886153302e-06
1880,3.1002927463370204e-08,2.217603050017455e-06
1881,2.7017507342463887e-08,2.3380827087748912e-06
1882,2.811854533340303e-08,2.683879123261639e-06
1883,2.6832225584273928e-08,3.066917461832678e-06
1884,2.768308439625246e-08,3.415084652910342e-06
1885,3.0425195188651544e-08,3.799110930101181e-06
1886,3.389108752368689e-08,4.155046294077433e-06
1887,2.809001970709752e-08,4.584470746392201e-06
1888,2.9617066767327416e-08,4.9920820726713695e-06
1889,2.8269084343232213e-08,5.4002284741727635e-06
1890,3.029468117635556e-08,5.8251209468705516e-06
1891,3.6374308898246e-08,6.495570232800674e-06
1892,4.197401194870411e-08,7.0915888110383615e-06
1893,4.468093666482835e-08,7.908508645674114e-06
1894,4.344348690312115e-08,8.449205064867524e-06
1895,5.6809359882947774e-08,8.969370290807482e-06
1896,7.970964764427078e-08,9.401580233056198e-06
1897,1.1123326564594598e-07,9.961826695611567e-06
1898,1.3411299347256188e-07,1.0193030772955223e-05
1899,1.6758548732858409e-07,1.067289420981459e-05
1900,1.967882314245019e-07,1.085530792417038e-05
1901,2.2661642264308413e-07,1.1078879521976757e-05
1902,2.5394855437558104e-07,1.1460090978029516e-05
1903,2.877916845786136e-07,1.1928101750007564e-05
1904,2.934401298456838e-07,1.2183565299242868e-05
1905,3.0866487626164077e-07,1.2548880476970226e-05
1906,3.2058143720600387e-07,1.2750489466790376e-05
1907,3.3410528642109837e-07,1.3125454513231358e-05
1908,3.465220369694829e-07,1.3434235760152141e-05
1909,3.590279098781528e-07,1.3838439891904792e-05
1910,3.654804337267186e-07,1.4054487240043403e-05
1911,3.857087246420373e-07,1.4320596684618586e-05
1912,3.985486744438406e-07,1.462630513872552e-05
1913,4.0610506500472964e-07,1.4856353508158853e-05
1914,4.15301408500974e-07,1.4940233735874894e-05
1915,4.3195495079219525e-07,1.5151993466133717e-05
1916,4.327374613564773e-07,1.519840186249764e-05
1917,4.5435837543144384e-07,1.541382685640461e-05
1918,4.658299620327203e-07,1.5582608024747708e-05
1919,4.6825366796708424e-07,1.5869486430476953e-05
1920,4.732069547636846e-07,1.6111605613592212e-05
1921,4.859016452688333e-07,1.6619878546667417e-05
1922,5.036000589240887e-07,1.7148107872344553e-05
1923,5.356864513877164e-07,1.776498408746972e-05
1924,5.694165322113674e-07,1.8451203816636864e-05
1925,6.058293219471775e-07,1.9123977056421738e-05
1926,6.587004739750617e-07,1.970640914805699e-05
1927,6.887796319330976e-07,2.0274901284470354e-05
1928,7.496059473461563e-07,2.071194960860469e-05
1929,7.726553284166065e-07,2.1222302685990663e-05
1930,8.223913791230839e-07,2.1499867736045936e-05
1931,8.321026549700556e-07,2.183904091777679e-05
1932,8.962966587335229e-07,2.242651888601748e-05
1933,9.271718356883087e-07,2.250718223097335e-05
1934,9.86356586249063e-07,2.2737767721991986e-05
1935,1.054325114832214e-06,2.300476106548948e-05
1936,1.154593462615594e-06,2.2999134411553053e-05
1937,1.1949942079679334e-06,2.3141832830983082e-05
1938,1.2265181632236427e-06,2.281235876060756e-05
1939,1.2653152745250345e-06,2.2367681854770387e-05
1940,1.2681394179838077e-06,2.1971789205313792e-05
1941,1.2770397331353576e-06,2.1623327484121546e-05
1942,1.2337364653701246e-06,2.1067779016448185e-05
1943,1.2128152450584042e-06,2.090755593339314e-05
1944,1.2313332880304578e-06,2.1221779856464957e-05
1945,1.3122325006926466e-06,2.1637774417675765e-05
1946,1.4205395148435076e-06,2.2471309161379134e-05
1947,1.5343490531449788e-06,2.3519591455364468e-05
1948,1.6528558717254782e-06,2.417004933314664e-05
1949,1.7809972762604178e-06,2.4769505866320935e-05
1950,1.935196597254877e-06,2.546159573414895e-05
1951,2.0729959097869662e-06,2.578444140713795e-05
1952,2.160530016226403e-06,2.617312877971147e-05
1953,2.191182813606117e-06,2.6464999142003114e-05
1954,2.385069495046212e-06,2.706304387954463e-05
1955,2.515239430067595e-06,2.8216460902642992e-05
1956,2.655216868723593e-06,2.9911418615873636e-05
1957,2.8209673408647566e-06,3.1599952438097845e-05
1958,2.9646208921414134e-06,3.3218938499755624e-05
1959,3.1329920407837823e-06,3.5778034413981785e-05
1960,3.3314937419553255e-06,3.796442147826643e-05
1961,3.451407922381934e-06,4.051558737826001e-05
1962,3.57851614093566e-06,4.276652388008577e-05
1963,3.7947105023964208e-06,4.5289068241670195e-05
1964,3.977042557120772e-06,4.7909834912778546e-05
1965,4.213065364768097e-06,5.108549781393127e-05
1966,4.621452132726388e-06,5.455035404468488e-05
1967,5.208335161504303e-06,6.0153558609142366e-05
1968,6.072992748938434e-06,6.58921614688422e-05
1969,6.931105937318145e-06,7.267371048718425e-05
1970,7.627312243130291e-06,7.857309122170721e-05
1971,8.25908760556818e-06,8.37123989185784e-05
1972,8.730611625651363e-06,8.789541399372476e-05
1973,9.047823758529766e-06,9.130916649675263e-05
1974,9.076473231419055e-06,9.271713393640571e-05
1975,8.840055930444837e-06,9.335312123377142e-05
1976,8.612561162278456e-06,9.274244699294545e-05
1977,8.440485024558647e-06,9.269085213808077e-05
1978,8.318690301426354e-06,9.245558820631621e-05
1979,8.271410089426873e-06,9.253291500499472e-05
1980,8.276710754476621e-06,9.234171427254166e-05
1981,8.251121991114424e-06,9.207218161983681e-05
1982,8.192091757207112e-06,9.230541763827205e-05
1983,8.229070772358682e-06,9.33088262432388e-05
1984,8.299781646720866e-06,9.417452695613195e-05
1985,8.343133491247759e-06,9.584994300634467e-05
1986,8.526755924062204e-06,9.810574556468055e-05
1987,8.701651755213139e-06,0.00010170559939329646
1988,8.843154578893778e-06,0.00010546859890122764
1989,9.070719508080011e-06,0.00010922686383959704
1990,9.312439423021196e-06,0.00011242103625720899
1991,9.444313946005423e-06,0.00011547068009219532
1992,9.593385844449845e-06,0.0001181650098130506
1993,9.579198246813445e-06,0.00012021029397146776
1994,9.506069155967062e-06,0.00012056480045430362
1995,9.541460713080596e-06,0.00012053947804296123
1996,9.381704330735374e-06,0.0001201596564247406
1997,9.10226117412094e-06,0.00011931634695169382
1998,8.854679695754644e-06,0.00011803771797401299
1999,8.658371890695499e-06,0.00011747223782419627
2000,8.484449738586721e-06,0.00011686193465720862
2001,8.231747999941166e-06,0.00011609389288683556
2002,8.031223647516786e-06,0.00011573275488834562
2003,7.86520987665946e-06,0.00011469712730364076
2004,7.720206083052159e-06,0.00011381432705093175
2005,7.517099545241633e-06,0.0001126247932136591
2006,7.263071503465264e-06,0.00011050607177561947
2007,7.016201769667012e-06,0.00010855121217900887
2008,6.798283525962948e-06,0.00010659034056256392
2009,6.7030733329634784e-06,0.00010495555761735886
2010,6.633104801169663e-06,0.00010435050249465608
2011,6.410498242205774e-06,0.0001020651969676172
2012,6.349497263207533e-06,0.00010057257272170059
2013,6.363998831407766e-06,0.00010072763585152902
2014,6.376569867175671e-06,9.906698271931549e-05
2015,6.271951146378082e-06,9.739245849362175e-05
2016,6.1648156588489655e-06,9.640589373053185e-05
2017,6.05247055318614e-06,9.466375437720369e-05
2018,6.134754494269146e-06,9.496999409748241e-05
2019,6.16963859556563e-06,9.521408901491668e-05
